epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2672.17,1.59441,1.3864,1.37587,0.67753,0.55446,0.6128,0.32796,1.61399,1.21991,1.323,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,2876.07,1.58246,1.36872,1.36301,0.69814,0.54928,0.6137,0.33119,1.60686,1.20956,1.31924,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3080.03,1.57617,1.35727,1.35892,0.68577,0.56312,0.61807,0.33306,1.5967,1.20151,1.31299,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3283.06,1.57449,1.42761,1.36065,0.68122,0.57164,0.62434,0.336,1.59298,1.19699,1.30693,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3486.5,1.56557,1.35149,1.35264,0.69716,0.56525,0.62834,0.33939,1.5852,1.17657,1.30653,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3691.7,1.55398,1.32881,1.34761,0.70931,0.5647,0.63346,0.34332,1.58084,1.16999,1.29945,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3896.98,1.54286,1.31945,1.3362,0.69731,0.57411,0.63127,0.34166,1.58277,1.17322,1.29783,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4100.89,1.54272,1.2999,1.33422,0.69979,0.5811,0.63534,0.34511,1.57191,1.16112,1.29351,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4304.54,1.54216,1.30077,1.33449,0.70803,0.58329,0.64084,0.34841,1.57438,1.15442,1.29691,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4507.9,1.53337,1.30308,1.32651,0.70142,0.59286,0.64463,0.35344,1.56572,1.14177,1.28877,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
