epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13070.4,1.6666,1.32786,0.01064,0.72346,0.60123,0.67865,0.37209,1.65243,1.1873,0.01364,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13478,1.65253,1.29847,0.01053,0.74106,0.59911,0.67918,0.37469,1.64187,1.19682,0.01343,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13887,1.62778,1.27272,0.01037,0.7421,0.60518,0.68509,0.37857,1.64246,1.19175,0.01351,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,14289.9,1.61082,1.25718,0.01024,0.7267,0.61964,0.68618,0.38236,1.63349,1.1855,0.01339,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,14697,1.59124,1.23384,0.01002,0.73634,0.62304,0.69076,0.3843,1.6254,1.18956,0.01334,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15105.3,1.58434,1.20973,0.00999,0.74301,0.61875,0.69424,0.38853,1.61793,1.17758,0.01334,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,15511,1.56149,1.17974,0.00981,0.73842,0.62821,0.69775,0.39319,1.60918,1.17828,0.01323,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,15918.5,1.54794,1.16479,0.00981,0.73729,0.63597,0.70167,0.39581,1.60982,1.1666,0.01309,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16326.2,1.53265,1.13393,0.00961,0.74953,0.63446,0.70383,0.39732,1.61082,1.16127,0.01335,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16728.4,1.52799,0.97875,0.01054,0.74945,0.63321,0.70435,0.39802,1.60416,1.17743,0.01324,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17133.3,1.48443,0.928,0.00999,0.76601,0.63196,0.70935,0.40137,1.60732,1.16973,0.01337,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17537.6,1.46073,0.90651,0.00989,0.76399,0.63321,0.71038,0.40419,1.60307,1.16516,0.01329,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17939.3,1.44256,0.8688,0.00966,0.75654,0.64,0.71008,0.40565,1.60428,1.16123,0.01333,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,18344.5,1.42508,0.85652,0.00933,0.76355,0.63696,0.71167,0.40797,1.5986,1.15767,0.01326,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18747.8,1.39821,0.81934,0.00919,0.77175,0.63786,0.71454,0.41122,1.59049,1.16307,0.01325,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,19155.1,1.38324,0.80208,0.00906,0.76557,0.64768,0.71685,0.41373,1.59057,1.16165,0.01331,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,19563.6,1.36399,0.79404,0.00897,0.76894,0.64607,0.71849,0.4142,1.59134,1.16084,0.01335,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19969.8,1.34247,0.76605,0.00878,0.76315,0.65089,0.71957,0.41528,1.59066,1.15983,0.01339,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,20377.5,1.3419,0.76639,0.0087,0.7708,0.64643,0.72004,0.41639,1.58522,1.16629,0.01331,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
