epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5510.03,1.47132,1.23082,1.31169,0.68774,0.58393,0.63987,0.35087,1.57804,1.16965,1.32167,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5676.61,1.45712,1.20804,1.30694,0.68979,0.5925,0.64475,0.35376,1.5731,1.15988,1.3212,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5842.39,1.43819,1.2003,1.29853,0.70814,0.5914,0.65186,0.35761,1.56158,1.15238,1.31339,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6007.68,1.43496,1.17918,1.29052,0.72231,0.57857,0.65042,0.35908,1.55521,1.14734,1.30219,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6172.73,1.42541,1.16239,1.28336,0.72451,0.58446,0.65617,0.36391,1.55163,1.13691,1.30095,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6338.16,1.40527,1.14449,1.27485,0.71969,0.59282,0.66092,0.3667,1.54978,1.13256,1.30342,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6501.94,1.40579,1.12982,1.2733,0.73111,0.59536,0.66512,0.36962,1.54531,1.11578,1.30184,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6666.94,1.39264,1.11262,1.26377,0.72973,0.59497,0.66682,0.37207,1.54249,1.10922,1.30039,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6832.27,1.37885,1.09665,1.2553,0.72725,0.59911,0.66918,0.37593,1.53696,1.10826,1.29852,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6998.53,1.38954,1.00313,1.25303,0.71367,0.61199,0.6683,0.37608,1.53106,1.10955,1.29615,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7165.02,1.35605,0.96018,1.23061,0.72059,0.61357,0.67172,0.37984,1.52618,1.1037,1.29292,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7329.56,1.3328,0.93075,1.21992,0.72544,0.61321,0.6766,0.38162,1.52634,1.09686,1.29259,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7494.49,1.31398,0.90861,1.20615,0.74233,0.61321,0.68052,0.38428,1.52377,1.08976,1.29513,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7665.07,1.30002,0.89441,1.20085,0.74339,0.61232,0.682,0.38775,1.51846,1.08467,1.29313,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7838.88,1.27523,0.86886,1.18836,0.73926,0.61839,0.68211,0.38822,1.51677,1.08372,1.29282,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8011.99,1.26103,0.85202,1.181,0.74422,0.61714,0.682,0.38922,1.51835,1.08379,1.29621,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8182.54,1.25317,0.84684,1.17576,0.74062,0.62207,0.68172,0.38923,1.51722,1.08346,1.29653,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8349.83,1.23134,0.82665,1.16365,0.73406,0.62768,0.68118,0.38904,1.51543,1.08323,1.29751,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8526.95,1.22831,0.81446,1.1643,0.73693,0.63028,0.6829,0.39,1.51595,1.08139,1.29775,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
