epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,295.793,2.01915,2.85041,0.0138,0.47962,0.35143,0.3427,0.15745,1.97364,2.136,0.01691,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993
2,547.598,2.01859,2.29491,0.01427,0.44713,0.28375,0.26938,0.12082,2.12219,2.36661,0.01952,0.0199238,0.00664127,0.0199238,0.00664127,0.0199238,0.00664127,0.0199238,0.00664127
3,789.76,2.12115,2.37504,0.01517,0.4106,0.30107,0.26954,0.11057,2.20923,2.42193,0.02124,0.0297919,0.00993062,0.0297919,0.00993062,0.0297919,0.00993062,0.0297919,0.00993062
4,1029.85,2.16199,2.4636,0.01585,0.43584,0.31625,0.29573,0.12812,2.16074,2.24009,0.0193,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1269.96,2.11524,2.35549,0.01507,0.47401,0.34696,0.34647,0.15893,2.04449,2.08999,0.01825,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1510.87,2.08748,2.26385,0.01473,0.51388,0.37107,0.38608,0.18029,1.97806,2.00531,0.01672,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1750.87,2.04354,2.17435,0.01425,0.48962,0.36411,0.361,0.16596,2.05156,2.04915,0.01782,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1988.95,2.03288,2.1213,0.01412,0.54969,0.39232,0.41686,0.20082,1.97265,1.87279,0.01732,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2229.43,2.00241,2.06671,0.01386,0.55106,0.4075,0.44029,0.20973,1.94794,1.83787,0.01714,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2469.46,1.98886,2.04977,0.01364,0.55117,0.40964,0.43196,0.2029,1.94006,1.85327,0.01665,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2709.23,1.98151,2.00306,0.01352,0.54349,0.42875,0.44384,0.20755,1.95831,1.84009,0.01676,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2949.35,1.96064,1.96336,0.01334,0.58122,0.44571,0.47514,0.23063,1.92068,1.75429,0.01649,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,3189.4,1.95122,1.91869,0.01313,0.57778,0.46112,0.48642,0.23839,1.86517,1.66892,0.01565,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3430.9,1.92811,1.89507,0.01285,0.57078,0.45714,0.48122,0.23467,1.87649,1.7291,0.01584,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3673.74,1.92322,1.87679,0.01283,0.59847,0.46268,0.49687,0.24503,1.87641,1.65507,0.01566,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3917.52,1.90399,1.8512,0.01277,0.61488,0.47018,0.51801,0.25715,1.84956,1.59754,0.01544,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,4162.2,1.90642,1.83299,0.0128,0.60857,0.47835,0.52289,0.26254,1.83866,1.57367,0.01501,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,4402.84,1.88917,1.78945,0.0125,0.59292,0.48464,0.52309,0.26655,1.82637,1.56951,0.01505,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,4644.58,1.89258,1.75962,0.01257,0.62122,0.4926,0.53701,0.27224,1.83616,1.531,0.01538,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4885.43,1.87616,1.75674,0.01236,0.63727,0.49125,0.55339,0.2811,1.8259,1.48624,0.01508,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,5132.26,1.88018,1.75131,0.01241,0.62882,0.50552,0.55013,0.28225,1.79742,1.51215,0.01484,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,5380.54,1.87606,1.72129,0.01229,0.64335,0.49893,0.56184,0.28793,1.79971,1.48214,0.01494,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,5620.08,1.86947,1.6973,0.01222,0.64328,0.50814,0.56387,0.28995,1.77253,1.47989,0.01438,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,5858.68,1.85652,1.69052,0.01228,0.64607,0.52677,0.57911,0.2986,1.77839,1.43887,0.01462,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,6097.66,1.85404,1.68491,0.01214,0.63976,0.52517,0.58119,0.29985,1.77524,1.44494,0.01469,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,6338.46,1.84279,1.66048,0.01199,0.66386,0.53357,0.58629,0.30407,1.7628,1.43251,0.01438,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,6581.17,1.83497,1.64311,0.01195,0.65724,0.54615,0.59397,0.30997,1.76829,1.40461,0.01426,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,6819.53,1.82739,1.62167,0.01181,0.66816,0.5325,0.59656,0.3134,1.75645,1.39465,0.01417,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,7060.28,1.8211,1.61909,0.01187,0.66477,0.5524,0.60637,0.31917,1.73214,1.39173,0.01384,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
