epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,568.108,1.98365,2.86329,0.01371,0.47873,0.30839,0.31062,0.14242,2.01162,2.22767,0.01779,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163
2,1050.45,2.02474,2.2653,0.01455,0.48627,0.31839,0.3116,0.14389,2.07794,2.19932,0.01926,0.0199289,0.00664297,0.0199289,0.00664297,0.0199289,0.00664297,0.0199289,0.00664297
3,1514.88,2.11722,2.41215,0.01529,0.42187,0.26982,0.25022,0.10477,2.23657,2.51463,0.02114,0.0297969,0.00993231,0.0297969,0.00993231,0.0297969,0.00993231,0.0297969,0.00993231
4,2013.53,2.17782,2.52753,0.01638,0.43164,0.32235,0.29877,0.12915,2.10757,2.28959,0.01938,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2510.85,2.13075,2.43018,0.01594,0.43386,0.30268,0.28827,0.12787,2.09601,2.3615,0.01984,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2981.99,2.07743,2.29566,0.01515,0.50146,0.37339,0.37681,0.17287,2.03769,2.02617,0.01799,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,3452.77,2.06401,2.2319,0.01487,0.53267,0.39661,0.41436,0.19069,1.98236,1.889,0.01755,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,3881.77,2.03812,2.14977,0.01447,0.5273,0.41571,0.42895,0.19938,1.97387,1.87689,0.01744,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,4314.86,2.00021,2.09164,0.01432,0.55669,0.43458,0.454,0.21731,1.91495,1.79063,0.01666,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,4745.9,1.98486,2.06904,0.01403,0.56641,0.42923,0.45837,0.21981,1.89397,1.76151,0.01662,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,5160.42,1.97321,1.98423,0.01384,0.57652,0.43429,0.46718,0.22327,1.92785,1.7165,0.01706,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,5583.2,1.95608,1.96849,0.01355,0.59035,0.45411,0.48669,0.23354,1.90834,1.68047,0.01672,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,6029.08,1.9453,1.91188,0.01338,0.60202,0.45732,0.49716,0.24636,1.87132,1.64232,0.01627,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,6457.46,1.92651,1.886,0.01322,0.61611,0.47625,0.51583,0.25689,1.87326,1.59144,0.01629,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,6878.98,1.9205,1.87025,0.0131,0.59299,0.47018,0.50658,0.24728,1.85183,1.64297,0.01579,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,7304.29,1.90374,1.84859,0.01286,0.60663,0.47375,0.51839,0.26168,1.80278,1.59274,0.01525,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,7735.07,1.90588,1.82991,0.01296,0.61565,0.4954,0.53366,0.27241,1.79851,1.54137,0.0151,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,8173.18,1.88899,1.7846,0.01277,0.61555,0.5,0.53931,0.27354,1.79449,1.54306,0.01492,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,8657.46,1.86854,1.77861,0.01258,0.59685,0.50875,0.54647,0.2832,1.77772,1.49226,0.0148,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
