epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6695.69,1.71539,1.41348,0.01064,0.69911,0.59518,0.65557,0.35521,1.6947,1.25627,0.01351,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6904.05,1.70977,1.37578,0.01055,0.70616,0.59375,0.65944,0.35995,1.68173,1.24446,0.01338,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7108,1.6831,1.35205,0.01047,0.72269,0.59804,0.66661,0.36444,1.67111,1.24873,0.0133,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,7311.37,1.6776,1.333,0.01038,0.72338,0.59964,0.6692,0.36657,1.66412,1.23478,0.01327,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,7517.55,1.66668,1.31999,0.01028,0.7231,0.60201,0.67019,0.36933,1.66429,1.23247,0.01322,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7722.38,1.64112,1.28381,0.01013,0.7145,0.61046,0.67651,0.37341,1.66311,1.22493,0.01328,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7924.11,1.64034,1.2753,0.01011,0.7237,0.61131,0.67911,0.37615,1.65291,1.22277,0.01327,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,8131.41,1.62512,1.25323,0.00991,0.72655,0.61804,0.68119,0.37799,1.65431,1.21443,0.01331,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,8339,1.61199,1.2295,0.0097,0.71493,0.62821,0.68476,0.3797,1.65751,1.20034,0.01343,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,8548.16,1.61047,1.05662,0.01096,0.722,0.62423,0.6847,0.38048,1.66437,1.2063,0.01348,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8753.71,1.57395,1.02368,0.01051,0.72112,0.63196,0.69092,0.38464,1.66217,1.19695,0.01346,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8952.32,1.54809,0.99165,0.01019,0.72125,0.63853,0.68983,0.38555,1.65223,1.21038,0.01333,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,9150.13,1.53011,0.96498,0.01006,0.74436,0.62804,0.69552,0.39019,1.64846,1.19565,0.01331,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,9353.45,1.50821,0.94996,0.0097,0.74749,0.62643,0.69512,0.39177,1.64009,1.20293,0.01322,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,9553.63,1.48988,0.90816,0.00964,0.75551,0.62,0.69639,0.39289,1.64162,1.1979,0.01326,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,9757.59,1.47333,0.88408,0.00949,0.733,0.63393,0.69605,0.39373,1.64009,1.19651,0.01329,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9956.18,1.46797,0.88944,0.00948,0.73874,0.63643,0.69676,0.39414,1.64304,1.19739,0.01335,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,10158.1,1.44589,0.86087,0.00924,0.74773,0.63143,0.69659,0.39407,1.64226,1.20649,0.01336,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,10356.2,1.43832,0.8611,0.00913,0.73206,0.63857,0.69572,0.39392,1.64399,1.20919,0.01337,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
